Identifier,filename,youtubeid,title,creator,contributor,date,description,subject,location,referencedlocation,latitude,longitude,publisher,source,type,format,language,rights
MYA00030,2015-07-01 14.47.30.jpg,,View of deforestation from Alas de Socorro plane 2,,"Carney, Lisa Warren (photographer)",7/1/15,"View from Alas de Socorro plane near Shell, Ecuador, taken on the return flight from Sarayaku, Ecuador. Notable is the increased deforestation compared to the territory closer to Sarayaku and the presence of a paved road.",deforestation;Sarayaku;Pastaza province,"Shell, Ecuador",,-1.506655817,-78.05821471,,,image,image/jpeg,,
MYA00031,2015-07-01 14.47.21.jpg,,View of deforestation from Alas de Socorro plane 1,,"Carney, Lisa Warren (photographer)",7/1/15,"View from Alas de Socorro plane near Shell, Ecuador, taken on the return flight from Sarayaku, Ecuador. Notable is the deforestation compared to the territory closer to Sarayaku and the presence of a paved road.",deforestation;Sarayaku;Pastaza province,"Shell, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00032,2015-07-01 14.36.41.jpg,,View of virgin forest from Alas de Socorro plane,,"Carney, Lisa Warren (photographer)",7/1/15,"View from Alas de Socorro plane near Saryaku, Ecuador, taken on the return flight from Sarayaku, Ecuador to Shell, Ecuador. This photo is notable in comparison to subsequent photos on the flight that depict deforestation. By contrast, here, is old growth tropical forest.",deforestation;Sarayaku;Pastaza province; old growth forest,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00033,2015-07-01 14.35.04.jpg,,Old and new roofing systems,,"Carney, Lisa Warren (photographer)",7/1/15,"View from Alas de Socorro plane near Saryaku, Ecuador, taken on the return flight from Sarayaku, Ecuador to Shell, Ecuador. Kichwa community buildings, seen from above, shown a mix of traditional thatched roofing and contemporary metal sheet roofing.",architecture;thatched roof;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00034,2015-07-01 14.34.59.jpg,,Kichwa buildings under construction,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/15,"View from Alas de Socorro plane near Saryaku, Ecuador, taken on the return flight from Sarayaku, Ecuador to Shell, Ecuador. Kichwa building in traditional style are shown under construction from above.",architecture;thatched roof;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00035,2015-07-01 14.21.26.jpg,,Approach to Sarayaku airstrip,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/15,Sarayaku community members approach the Alas de Socorro plane at the Sarayaku airstrip.,airplane;airstrip;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00036,2015-07-01 13.51.56.jpg,,Sabino Gualinga and Corina Montalvo at home,"Gualinga, Sabino;Montalvo Corina","Carney, Lisa Warren (photographer)",7/1/15,"Sarayaku elders and parents of prominent Gualinga Montalvo children, sit in their home in Sarayaku, Ecuador.",Sarayaku;elders,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00037,2015-07-01 10.27.12.jpg,,Barbasco fishing in Sarayaku,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/15,"Members of the community of Sarayaku fish using the toxin, barbasco, which temporarily stuns fish, allowing for easy collection.  The full community goes out on dugout canoes for the early morning event. ",Sarayaku;traditional fishing methods;barbasco;canoe;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00038,2015-07-01 10.10.30.jpg,,Wading in shallows for fish,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/15,"Members of the community of Sarayaku fish using the toxin, barbasco, which temporarily stuns fish, allowing for easy collection.  The full community goes out on dugout canoes for the early morning event. ",Sarayaku;traditional fishing methods;barbasco;canoe;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00039,2015-07-01 10.07.13.jpg,,Navigation with a pole,Sarayaku Community,"Carney, Lisa Warren (photographer)",7/1/15,A man from Sarayaku wearing an Ecuadorian soccer shirt pushes his canoe through shallow water with a pole.,Sarayaku;traditional fishing methods;canoe;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00040,2015-06-30 18.11.28.jpg,,Sabino Gualinga crosses Sarayaku bridge,"Gualinga,Sabino","Carney, Lisa Warren (photographer)",6/30/15,"Sarayaku elder and yachak, Sabino Gualingo, crosses the walking bridge near his home.",bridge;elders;Bobonaza River,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00041,2015-06-30 18.01.08 HDR-2.jpg,,Playing soccer in Sarayaku,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,Young men from the Sarayaku community play soccer at dusk in the Sarayaku central field.,Soccer;football;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00042,2015-06-30 11.03.39.jpg,,Community satellite,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,Satellite for internet access in Sarayaku,Satellite;technology;Sarayaku,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00043,2015-06-30 11.03.21.jpg,,Centro de Salud Community Health Center,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,The Sarayaku community health center with nurse and dental services provided by non-community Ecuadorians.,Western medicine,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00044,2015-06-30 10.51.34.jpg,,Sarayaku Catholic Church bell,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,"Church bell for the Sarayaku Catholic church. Many community members are practicing Catholics, while others participate in Evangelical services.",Church;Catholocism;churchbell;religion,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00045,2015-06-30 10.49.06.jpg,,Virgin Mary statue with tinaja and rosaries,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,"The figurine of the Virgin Mary inside the Sarayaku Catholic church. Two tinajas (storage vessles) are at her feet, as well as a number of rosaries.",Church;Catholocism;Virgin Mary;rosary;tinaja;religion,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00046,2015-06-30 10.14.30.jpg,,Inside the Sarayaku Casa Comunal,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,Inside the Sarayaku Casa Comunal or Community meeting hall.,Community organization;Sarayaku;Casa comunal,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00047,2015-06-30 10.12.09.jpg,,Outside the Sarayaku Casa Comunal,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,"Outside the Sarayaku Casa Comunal or Community meeting hall, a mural of a woman in traditional dress.",Community organization;Sarayaku;Casa comunal;mural;architecture;thatched roof,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00048,2015-06-30 09.33.41.jpg,,Cooking fire in Gualinga Montalvo home,Gualinga Montalvo family,"Carney, Lisa Warren (photographer)",6/30/15,The cooking fire where Corina Montalvo prepares wayusa pre-dawn in her home and discussed her dreams with visitors.,wayusa;fire;muskuy,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00049,2015-06-30 08.44.24.jpg,,Collection of tinajas for storing aswa (chicha) ,Sarayaku Community,"Carney, Lisa Warren (photographer)",6/30/15,Collection of tinajas for storing aswa (chicha) near the Gualinga Montalvo home,tinaja;aswa;chica;pottery,"Sarayaku, Ecuador",,-1.732775335,-77.48333305,,,image,image/jpeg,,
MYA00050,2015-06-29 11.58.03.jpg,,Boats near Port of Canelos,,"Carney, Lisa Warren (photographer)",6/29/15,"Canoes with motors and poles that take travellers to the Sarayaku community. Sarayaku is only accessibly by foot, canoe, or small aircraft.",canoe;Bobonaza River,"Puerto Canelos, Canelos, Ecuador",,-1.579980302,", -77.719489731721",,,image,image/jpeg,,
MYA00051,2015-06-29 10.43.20.jpg,,Canelos Bridge,Canelos Community,"Carney, Lisa Warren (photographer)",6/29/15,Bridge near Canelos community.,Bridge;Bobonaza River,"Canelos, Ecuador",,-1.588407409,", -77.74672579146464",,,image,image/jpeg,,
MYA00052,2015-06-29 10.42.04.jpg,,Canelos store and covered court,Canelos Community,"Carney, Lisa Warren (photographer)",6/29/15,"One of the principle buildings near the road in Canelos, Ecuador. There is a store and a covered basketball court and community area.",Canelos,"Canelos, Ecuador",,-1.588407409,", -77.74672579146464",,,image,image/jpeg,,
MYA00003,,https://youtu.be/T-l5fWFiMDo,Apa mama clay request,"Dagua Toquetón, Benedicta Elodia","Warren, Lisa (videographer); Dagua, Delicia (speaker); Swanson, Tod (interviewer)",6/18/14,"(Benedicta) Elodia Dagua Toqueton demonstrates the way she asks the manga apa mama (pottery clay grandmother) for permission to take the powerful being's clay from the ground. This is completed at the request of Lisa Warren and Tod Swanson, on the grounds of the Iyarina Lodge, as part of the summer session of the Andes-Amazon Field School. Undergraudate students from the University of Pittburgh summer program are present.",Clay; Pottery; Excrement; Laziness; Strength; Manga Allpa Mama; Killa; Sinzdhi; Manga Allpa; Manga; female laughter,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,"University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa,"Copyright 2020, Lisa W. Carney"
MYA00005,,https://youtu.be/NHrBkb0lQMg,Chingarishka turi,"Dagua Toquetón, Bélgica","Carney, Lisa Warren(interviewer);Dagua Toquet√≥n, Benedicta Eulodia(speaker);Andi, Pedro(speaker)",2016-07,"BélgicaDagua Toquet√≥n describes the events leading up to the disappearance of her younger brother, as well as the muskuy experiences her family members had subsequently that confirmed that he had been turned in to a yaku runa or water person anaconda. B√©lgica's sister, Eulodia, and friend, Pedro, contribute comments. Lisa (Warren) Carney asked to record this story while the group gathered clay for making pottery on the grounds of the Iyarina Lodge. Two undergradaute students from the University of Pittsburgh were also present for the recording. ",Clay;Pottery;Laziness; Killa;Sinzdhi;Yaku Runa;Anaconda;Water People;Muskuy;Transformation;Rancia Warmi;Anger;Powerful spirit being;Supay,"Iyarina Lodge, Napo, Ecuador","Pastaza,Ecuador",-1.044812,-77.712667,"University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa,"Copyright 2020, Lisa W. Carney"
MYA00009,,https://youtu.be/CX2KjggHQ-k,Manga allpa muskuy,"Dagua Toquetón, Benedicta Elodia","Swanson, Tod(speaker);Warren, Lisa(videographer);Ennis, Georgia(depicted)",6/18/14,"(Benedicta) Elodia Dagua Toquet√≥n tells the story of her dream from the night prior in which her husband caught a large anaconda, then in which she was arrested by the police for disorderly contact. Both dreams were telling of her impending discovery of pottery clay, as the anaconda and the police officer are the manga allpa amu (master of pottery clay). Lisa Warren asked Tod Swanson to elicit the story during a session of Advanced Kichwa at the Andes-Amazon field school. Other students present. Elodia had mentioned the story to her aunt, Delicia Dagua, that same morning when the entire group had gone to gather clay.",manga allpa;pottery;clay;warmi yachay;women's knowledge;amarun;anaconda;manzharina;fear;pi√±arina;anger;police;maitu;steamed fish;amu;spirit master;killa;laziness-laxity;drunkenness;machay,"Iyarina Lodge, Napo, Ecuador","Canelos,Ecuador",-1.044812,-77.712667,"University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa;Spanish,"Copyright 2020, Lisa W. Carney"
MYA00010,MVI_0316.m4v,,Bélgica makes black paint,"Dagua Toquetón, Bélgica","Carney, Lisa Warren (videographer)",7/14/16,BélgicaDagua mixes paint by rubbing a block of natural earth pigment on a plastic tray of water. The paint is used to decorate the drinking vessels and figures that Kichwa women create for use and sale. Bélgicaand her sister (Benedicta) Elodia Dagua Toquet√≥n prepared materials in their role as ceramic instructors at the Andes-Amazon Field School run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts class.,clay;pottery;manga allpa;paint;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,,
MYA00011,MVI_0317.m4v,,Elodia prepares paintbrush stick,"Dagua Toquetón, Benedicta Elodia","Carney, Lisa Warren (videographer)",7/15/16,(Benedicta) Elodia Dagua scrapes a stick down to a fine stick for use as a paint brush for  decorating the drinking vessels and figures that Kichwa women create for use and sale. Elodia and her sister BélgicaDagua Toquet√≥n prepared materials in their role as ceramic instructors at the Andes-Amazon Field School run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts class.,clay;pottery;manga allpa;paint;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,,
MYA00012,,https://youtu.be/HnYFHi3eJf4,Bélgica and Elodia prepare paintbrushes,"Dagua Toquetón, Benedicta Elodia;Dagua Toquetón, Bélgica","Carney, Lisa Warren (interviewer)",7/16/16,"(Benedicta) Elodia Dagua scrapes a stick down to a fine stick for use as a paint brush, while her sister, BélgicaDagua Toquet√≥n,  ties a small bundle of hair to a stick to complete the process. Teh women ceramic instructors at the Andes-Amazon Field School run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts class.",clay;pottery;manga allpa;awana (manga allpawa);pottery making;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,,
MYA00013,,https://youtu.be/9F5vKe3HItQ,Dagua sisters and American students prepare pottery,"Dagua Toquetón, Benedicta Elodia;Dagua Toquetón, Bélgica","Carney, Lisa Warren (interviewer)",7/17/16,"(Benedicta) Elodia Dagua Toquet√≥n, BélgicaDagua Toquet√≥n, and two undergraduate students from the University of Pittsburgh create pottery out of clay during the Amazonian Arts class at the Andes-Amazon Field school run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant of the course.",clay;pottery;manga allpa;paint;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,Kichwa,
MYA00014,,https://youtu.be/ylY1PxJyqYs,Sarayaku muskuy,"Gualinga Montalvo, Gerardo;Sarayaku Yachakguna","Carney, Lisa Warren (interviewer)",,"Gerardo Gualinga Montalvo tells a group of American scholars the story of the muskuy vision that the first yachakguna of Sarayaku experience that foretold that the community would survive future calamity. The story describe the first yachaks taking ayahuasca to induce their vision, seeing corn (sara) in a river (yaku), then seeing five macaws, and seeing that the community is protected by five powerful mountains (urku). This is a story passed down by generations. Those present included Gualinga's children, Lisa Carney, Georgia Ennis, Bryan Rupert, and Bill Gentile, who were present in Sarayaku on a paid tour. Carney, Ennis, and Rupert spoke Kichwa and all four interivewed Gualinga, who was the chief security guard and tour guide at the time through Papangu Tours, located in Puyo, Ecuador.","muskuy;dream narrative;Ayahuasca;ayawaska;Healer (""knower"");yachak;shaman;beginning times;kallari huras;Sarayaku;macaws;wakamayu;moutains;urku;corn;sara;spiderweb;ara√±a wasi;midday;chaupi punzha;ancestral knowledge-Sarayaku;ruku yayaguna yachay-Sarayakumanda","Sarayaku, Ecuador","Sarayaku,Ecuador;Canelos,Ecaudor",-1.732646648,", -77.48320429907365","University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa,"Copyright 2020, Lisa W. Carney"
MYA00004,By the Authority of Dreams Lisa Warren Carney Dissertation.pdf,,By the Authority of Dreams Truth and Knowledge in Kichwa Muskuy Narratives,"Carney, Lisa Warren","Harrison, Regina (dissertation advisor)",3/12/20,"For Kichwa-speaking Runa of Ecuador‚Äôs tropical forest region, narratives about muskuy experiences‚Äîdreams and visions‚Äîare revered sources of knowledge. Muskuy is a real (non-fantasy) experience in which humans communicate with each other and non-human persons that inhabit their environment, acquiring information and powers in the process. Through analysis of video recordings of muskuy narratives told by Kichwa speakers (2014-2016), this dissertation explores how verbal artistry, performance technique, and emotional resonance are central to knowledge acquisition and transmission. Specifically, narratives are deemed truthful and authoritative when they evoke empathy and memory through imagery, gesture, and vocal dynamics. Whereas ethnography and psychoanalysis have been the prevalent models for scholarship of indigenous dream practices, this is among the first scholarly work to use diverse methods of ethnopoetic analysis such as close reading, performance studies (Bauman, Hymes), linguistic analysis (Mannheim, Nuckolls), and ethnographic contextualization (Galli, Uzendoski) to elucidate the aesthetics of Kichwa muskuy narratives. Chapter 1 examines muskuy as a source of gender-specific knowledge and authority conveyed in the narrative of a master ceramicist woman‚Äôs dream interaction with a Clay Master Spirit. Narrative skill is one manifestation of mature womanhood or manhood that is developed partially through muskuy. Through artful storytelling, a narrator demonstrates her feminine strength. Chapter 2 elucidates the central role of dialogue in articulating authority and credibility. In a narrative of a boy‚Äôs transformation into an anaconda, implication and allusion induce dialogic resonances (Bakhtin), while quotation and perspective-marking with ‚Äúevidential‚Äù enclitics animate authoritative voices within the narrative. Additionally, interlocutors substantiate narrative information through commentary and story contributions. Chapter 3 compares a traditional muskuy nar",Latin American literature;Folklore;Linguistics;Dream Narratives;Ecuadorian Quechua;Kichwa;Ethnopoetics Verbal Art;Evidentiality;Indigenous Amazonian Knowledge Systems;Performance Studies;Muskuy;Ruku Yayaguna Yachay,,"Napo, Ecuador;Pastaza,Ecuador",,,"University of Maryland (College Park, Md.) 2020",,text,application/pdf,English;Kichwa,"Copyright 2020, Lisa W. Carney"
MYA00006,Elodia Manga Allpawa.png,,Elodia Manga Allpawa,"Dagua Toquetón, Benedicta Elodia","Warren, Lisa;(videographer) Swanson, Tod(speaker)",2015,"(Benedicta) Elodia Dagua Toqueton holds clay that she has dug out of a stream on the property of the Iyarina Lodge, in the presence of American students during a session of the Andes-Amazon Field school run by Dr. Tod Swanson. Dagua was a ceramics instructor and cultural heritage informant at the school.",manga allpa;pottery;clay;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/png,,
